  #    ,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
179,Ferozpur,10,GEN,Punjab,Sher Singh Ghubaya,Shiromani Akali Dal,"13,42,488","9,56,952",71.30%,"21,071",2.20%,2009
180,Firozabad,20,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,"14,22,243","6,84,881",48.20%,"67,301",9.80%,2009
181,Gadchiroli-Chimur,12,ST,Maharashtra,Kowase Marotrao Sainuji,Indian National Congress,"12,85,387","8,37,822",65.20%,"28,580",3.40%,2009
182,Gandhinagar,6,GEN,Gujarat,Lal Krishna Advani,Bharatiya Janta Party,"15,55,709","7,91,098",50.90%,"1,21,747",15.40%,2009
183,Ganganagar,1,SC,Rajasthan,Bharat Ram Meghwal,Indian National Congress,"14,91,983","9,10,531",61.00%,"1,40,668",15.40%,2009
184,Garhwal,2,GEN,Uttarakhand,Satpal Maharaj,Indian National Congress,"10,92,282","5,39,608",49.40%,"17,397",3.20%,2009
185,Gauhati,7,GEN,Assam,Bijoya Chakravarty,Bharatiya Janta Party,"17,23,860","11,09,000",64.30%,"11,855",1.10%,2009
186,Gautam Buddh Nagar,13,GEN,Uttar Pradesh [2000 Onwards],Surendra Singh Nagar,Bahujan Samaj Party,"15,22,397","7,38,929",48.50%,"15,904",2.20%,2009
187,Gaya,38,SC,Bihar [2000 Onwards],Hari Manjhi,Bharatiya Janta Party,"13,29,192","5,63,429",42.40%,"62,453",11.10%,2009
188,Ghatal,32,GEN,West Bengal,Gurudas Das Gupta,Communist Party Of India,"13,54,861","11,70,375",86.40%,"1,47,184",12.60%,2009
189,Ghaziabad,12,GEN,Uttar Pradesh [2000 Onwards],Rajnath Singh,Bharatiya Janta Party,"18,31,688","8,30,144",45.30%,"90,681",10.90%,2009
190,Ghazipur,75,GEN,Uttar Pradesh [2000 Onwards],Radhey Mohan Singh,Samajwadi Party,"15,27,723","7,70,622",50.40%,"69,309",9.00%,2009
191,Ghosi,70,GEN,Uttar Pradesh [2000 Onwards],Dara Singh Chauhan,Bahujan Samaj Party,"16,93,231","7,65,689",45.20%,"60,945",8.00%,2009
192,Giridih,6,GEN,Jharkhand,Ravindra Kumar Pandey,Bharatiya Janta Party,"13,46,527","6,19,311",46.00%,"94,738",15.30%,2009
193,Godda,3,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,"14,12,253","7,97,695",56.50%,"6,407",0.80%,2009
194,Gonda,59,GEN,Uttar Pradesh [2000 Onwards],Beni Prasad Verma,Indian National Congress,"13,41,455","6,05,257",45.10%,"23,675",3.90%,2009
195,Gopalganj,17,SC,Bihar [2000 Onwards],Purnmasi Ram,Janata Dal (United),"13,49,072","5,04,611",37.40%,"42,472",8.40%,2009
196,Gorakhpur,64,GEN,Uttar Pradesh [2000 Onwards],Adityanath,Bharatiya Janta Party,"16,96,474","7,48,613",44.10%,"2,20,271",29.40%,2009
197,Gulbarga,5,SC,Karnataka,Mallikarjun Kharge,Indian National Congress,"15,43,771","7,59,481",49.20%,"13,404",1.80%,2009
198,Guna,4,GEN,Madhya Pradesh [2000 Onwards],Jyotiraditya Scindia,Indian National Congress,"12,02,772","6,50,328",54.10%,"2,49,737",38.40%,2009
199,Guntur,30,GEN,Andhra Pradesh,Rayapati Sambasiva Rao,Indian National Congress,"13,65,177","10,49,921",76.90%,"39,355",3.70%,2009
200,Gurdaspur,1,GEN,Punjab,Partap Singh Bajwa,Indian National Congress,"13,18,967","9,33,323",70.80%,"8,342",0.90%,2009
201,Gurgaon,9,GEN,Haryana,Inderjit Singh,Indian National Congress,"12,44,437","7,56,205",60.80%,"84,864",11.20%,2009
202,Gwalior,3,GEN,Madhya Pradesh [2000 Onwards],Yashodhara Raje Scindia,Bharatiya Janta Party,"14,20,728","5,84,165",41.10%,"26,591",4.60%,2009
203,Hajipur,21,SC,Bihar [2000 Onwards],Ram Sundar Das,Janata Dal (United),"13,27,075","5,55,110",41.80%,"37,954",6.80%,2009
204,Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,"11,87,377","6,99,687",58.90%,"72,732",10.40%,2009
205,Hamirpur,47,GEN,Uttar Pradesh [2000 Onwards],Vijay Bahadur Singh,Bahujan Samaj Party,"14,98,840","6,99,687",46.70%,"25,502",3.60%,2009
206,Hardoi,31,SC,Uttar Pradesh [2000 Onwards],Usha Verma,Samajwadi Party,"14,16,949","5,75,093",40.60%,"92,935",16.20%,2009
207,Hardwar,5,GEN,Uttarakhand,Harish Rawat,Indian National Congress,"12,94,280","7,88,217",60.90%,"1,27,412",16.20%,2009
208,Hassan,16,GEN,Karnataka,H D Devegowda,Janata Dal (Secular),"14,17,213","9,80,318",69.20%,"2,91,113",29.70%,2009
209,Hathras,16,SC,Uttar Pradesh [2000 Onwards],Sarika Singh,Rashtriya Lok Dal,"14,37,725","6,48,539",45.10%,"36,852",5.70%,2009
210,Hatkanangle,48,GEN,Maharashtra,Shetti Raju Alias Devappa Anna,Swabhimani Paksha,"14,58,560","9,78,507",67.10%,"95,060",9.70%,2009
211,Haveri,10,GEN,Karnataka,Udasi Shivkumar Chanabasappa,Bharatiya Janta Party,"13,71,763","8,72,262",63.60%,"87,920",10.10%,2009
212,Hazaribagh,14,GEN,Jharkhand,Yashwant Sinha,Bharatiya Janta Party,"13,01,651","6,90,936",53.10%,"40,164",5.80%,2009
213,Hindupur,37,GEN,Andhra Pradesh,Kristappa Nimmala,Telugu Desam,"13,77,610","10,28,974",74.70%,"22,835",2.20%,2009
214,Hingoli,15,GEN,Maharashtra,Subhash Bapurao Wankhede,Shiv Sena,"13,69,774","8,17,580",59.70%,"73,634",9.00%,2009
215,Hisar,4,GEN,Haryana,Bhajan Lal S/o Kheraj,Haryana Janhit Congress (BL),"11,94,689","8,28,704",69.40%,"6,983",0.80%,2009
216,Hooghly,28,GEN,West Bengal,Dr. Ratna De (Nag),All India Trinamool Congress,"14,05,684","11,63,978",82.80%,"81,523",7.00%,2009
217,Hoshangabad,17,GEN,Madhya Pradesh [2000 Onwards],Uday Pratap Singh,Indian National Congress,"12,97,404","7,12,284",54.90%,"19,245",2.70%,2009
218,Hoshiarpur,5,SC,Punjab,Santosh Chowdhary,Indian National Congress,"12,99,234","8,43,123",64.90%,366,0.00%,2009
219,Howrah,25,GEN,West Bengal,Ambica Banerjee,All India Trinamool Congress,"13,44,746","9,94,315",73.90%,"37,392",3.80%,2009
220,Hyderabad,9,GEN,Andhra Pradesh,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,"13,93,242","7,30,544",52.40%,"1,13,865",15.60%,2009
221,Idukki,13,GEN,Kerala,Adv. P.T Thomas,Indian National Congress,"10,62,849","7,87,236",74.10%,"74,796",9.50%,2009
222,Indore,26,GEN,Madhya Pradesh [2000 Onwards],Sumitra Mahajan (Tai),Bharatiya Janta Party,"15,70,094","7,97,171",50.80%,"11,480",1.40%,2009
223,Inner Manipur,1,GEN,Manipur,Dr. Thokchom Meinya,Indian National Congress,"8,26,755","5,83,323",70.60%,"30,960",5.30%,2009
224,Jabalpur,13,GEN,Madhya Pradesh [2000 Onwards],Rakesh Singh,Bharatiya Janta Party,"14,46,345","6,33,495",43.80%,"1,06,003",16.70%,2009
225,Jadavpur,22,GEN,West Bengal,Kabir Suman,All India Trinamool Congress,"13,31,537","10,85,301",81.50%,"56,267",5.20%,2009
226,Jagatsinghpur,16,SC,Orissa,Bibhu Prasad Tarai,Communist Party Of India,"14,55,406","9,82,922",67.50%,"76,735",7.80%,2009
227,Jahanabad,36,GEN,Bihar [2000 Onwards],Jagdish Sharma,Janata Dal (United),"12,76,912","5,99,175",46.90%,"21,327",3.60%,2009
228,Jaipur,7,GEN,Rajasthan,Mahesh Joshi,Indian National Congress,"16,84,541","8,12,957",48.30%,"16,099",2.00%,2009
229,Jaipur Rural,6,GEN,Rajasthan,Lal Chand Kataria,Indian National Congress,"14,44,949","6,87,165",47.60%,"52,237",7.60%,2009
230,Jajpur,8,SC,Orissa,Mohan Jena,Biju Janata Dal,"12,27,088","8,17,649",66.60%,"1,27,747",15.60%,2009
231,Jalandhar,4,SC,Punjab,Mohinder Singh Kaypee,Indian National Congress,"13,39,842","8,99,607",67.10%,"36,445",4.10%,2009
232,Jalaun,45,SC,Uttar Pradesh [2000 Onwards],Ghansyam Anuragi,Samajwadi Party,"16,84,988","7,97,588",47.30%,"11,409",1.40%,2009
233,Jalgaon,3,GEN,Maharashtra,A.T. Nana Patil,Bharatiya Janta Party,"15,49,391","6,56,612",42.40%,"96,020",14.60%,2009
234,Jalna,18,GEN,Maharashtra,Danve Raosaheb Dadarao Patil,Bharatiya Janta Party,"14,26,255","7,97,213",55.90%,"8,482",1.10%,2009
235,Jalore,18,GEN,Rajasthan,Devji Patel,Bharatiya Janta Party,"15,20,957","5,77,810",38.00%,"49,805",8.60%,2009
236,Jalpaiguri,3,SC,West Bengal,Mahendra Kumar Roy,Communist Party Of India (MARXIST),"12,52,142","10,32,242",82.40%,"88,371",8.60%,2009
237,Jammu,6,GEN,Jammu & Kashmir,Madan Lal Sharma,Indian National Congress,"17,19,897","8,42,899",49.00%,"1,21,373",14.40%,2009
238,Jamnagar,12,GEN,Gujarat,Ahir Vikrambhai Arjanbhai Madam,Indian National Congress,"12,98,599","5,94,603",45.80%,"26,418",4.40%,2009
239,Jamshedpur,9,GEN,Jharkhand,Arjun Munda,Bharatiya Janta Party,"13,80,279","7,05,570",51.10%,"1,19,663",17.00%,2009
240,Jamui,40,SC,Bihar [2000 Onwards],Bhudeo Choudhary,Janata Dal (United),"14,04,016","5,35,288",38.10%,"29,797",5.60%,2009
241,Jangipur,9,GEN,West Bengal,Pranab Mukherjee,Indian National Congress,"10,87,054","9,34,813",86.00%,"1,28,149",13.70%,2009
242,Janjgir-Champa,3,SC,Chhattisgarh,Shrimati Kamla Devi Patle,Bharatiya Janta Party,"15,18,450","7,37,608",48.60%,"87,211",11.80%,2009
243,Jaunpur,73,GEN,Uttar Pradesh [2000 Onwards],Dhananjay Singh,Bahujan Samaj Party,"16,62,127","7,63,987",46.00%,"80,351",10.50%,2009
244,Jhalawar-Baran,25,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,"14,47,157","8,72,015",60.30%,"52,841",6.10%,2009
245,Jhanjharpur,7,GEN,Bihar [2000 Onwards],Mangani Lal Mandal,Janata Dal (United),"14,18,977","6,07,835",42.80%,"72,709",12.00%,2009
246,Jhansi,46,GEN,Uttar Pradesh [2000 Onwards],Pradeep Kumar Jain (Aditya),Indian National Congress,"15,62,082","8,61,858",55.20%,"47,670",5.50%,2009
247,Jhargram,33,ST,West Bengal,Pulin Bihari Baske,Communist Party Of India (MARXIST),"12,41,574","9,58,825",77.20%,"2,92,345",30.50%,2009
248,Jhunjhunu,4,GEN,Rajasthan,Sheesh Ram Ola,Indian National Congress,"14,32,581","6,03,278",42.10%,"65,332",10.80%,2009
249,Jodhpur,16,GEN,Rajasthan,Chandresh Kumari,Indian National Congress,"15,06,821","6,84,623",45.40%,"98,329",14.40%,2009
250,Jorhat,12,GEN,Assam,Bijoy Krishna Handique,Indian National Congress,"11,82,349","7,65,059",64.70%,"71,914",9.40%,2009
251,Joynagar,19,SC,West Bengal,Dr. Tarun Mondal,Independent,"11,43,640","9,15,801",80.10%,"53,705",5.90%,2009
252,Junagadh,13,GEN,Gujarat,Solanki Dinubhai Boghabhai,Bharatiya Janta Party,"13,13,064","7,60,085",57.90%,"13,759",1.80%,2009
253,Kachchh,1,SC,Gujarat,Jat Poonamben Veljibhai,Bharatiya Janta Party,"13,25,614","5,64,099",42.60%,"71,343",12.60%,2009
254,Kadapa,38,GEN,Andhra Pradesh,Y.S. Jagan Mohan Reddy,Indian National Congress,"13,47,716","10,31,800",76.60%,"1,78,846",17.30%,2009
255,Kairana,2,GEN,Uttar Pradesh [2000 Onwards],Tabassum Begum,Bahujan Samaj Party,"12,82,551","7,25,359",56.60%,"22,463",3.10%,2009
256,Kaiserganj,57,GEN,Uttar Pradesh [2000 Onwards],Brijbhushan Sharan Singh,Samajwadi Party,"13,76,267","5,65,673",41.10%,"72,199",12.80%,2009
257,Kakinada,23,GEN,Andhra Pradesh,M.M.Pallamraju,Indian National Congress,"12,65,094","9,67,545",76.50%,"34,044",3.50%,2009
258,Kalahandi,11,GEN,Orissa,Bhakta Charan Das,Indian National Congress,"14,21,959","9,80,310",68.90%,"1,54,037",15.70%,2009
259,Kaliabor,11,GEN,Assam,Dip Gogoi,Indian National Congress,"13,48,371","9,61,183",71.30%,"1,51,989",15.80%,2009
260,Kallakurichi,14,GEN,Tamil Nadu,Sankar Adhi,Dravida Munetra Kazhagam,"11,06,352","8,57,618",77.50%,"3,57,571",41.70%,2009
261,Kalyan,24,GEN,Maharashtra,Anand Prakash Paranjape,Shiv Sena,"15,88,507","5,44,851",34.30%,"24,202",4.40%,2009
262,Kancheepuram,6,SC,Tamil Nadu,Viswanathan.P,Indian National Congress,"10,60,188","7,87,177",74.30%,"13,103",1.70%,2009
263,Kandhamal,13,GEN,Orissa,Rudramadhab Ray,Biju Janata Dal,"10,65,279","7,08,100",66.50%,"1,51,007",21.30%,2009
264,Kangra,1,GEN,Himachal Pradesh,Dr. Rajan Sushant,Bharatiya Janta Party,"12,00,165","6,62,248",55.20%,"20,779",3.10%,2009
265,Kanker,11,ST,Chhattisgarh,Sohan Potai,Bharatiya Janta Party,"12,96,734","7,42,076",57.20%,"19,288",2.60%,2009
266,Kannauj,42,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,"15,04,276","7,41,965",49.30%,"1,15,864",15.60%,2009
267,Kanniyakumari,39,GEN,Tamil Nadu,Helen Davidson J,Dravida Munetra Kazhagam,"11,78,047","7,66,034",65.00%,"65,687",8.60%,2009
268,Kannur,2,GEN,Kerala,K. Sudhakaran,Indian National Congress,"10,69,725","8,67,040",81.10%,"43,151",5.00%,2009
269,Kanpur,43,GEN,Uttar Pradesh [2000 Onwards],Sri Prakash Jaiswal,Indian National Congress,"13,90,055","5,12,917",36.90%,"18,906",3.70%,2009
270,Kanthi,31,GEN,West Bengal,Adhikari Sisir Kumar,All India Trinamool Congress,"12,49,775","11,24,817",90.00%,"1,29,103",11.50%,2009
271,Karakat,35,GEN,Bihar [2000 Onwards],Mahabali Singh,Janata Dal (United),"13,86,634","5,77,454",41.60%,"20,483",3.50%,2009
272,Karauli-Dholpur,10,SC,Rajasthan,Khiladi Lal Bairwa,Indian National Congress,"13,03,196","4,87,218",37.40%,"29,723",6.10%,2009
273,Karimganj,1,SC,Assam,Lalit Mohan Suklabaidya,Indian National Congress,"10,68,811","6,85,740",64.20%,"7,920",1.20%,2009
274,Karimnagar,3,GEN,Andhra Pradesh,Ponnam Prabhakar,Indian National Congress,"14,96,211","9,91,417",66.30%,"50,243",5.10%,2009
275,Karnal,5,GEN,Haryana,Arvind Kumar Sharma,Indian National Congress,"12,16,977","8,11,067",66.70%,"76,346",9.40%,2009
276,Karur,23,GEN,Tamil Nadu,Thambidurai.M,All India Anna Dravida Munnetra Kazhagam,"10,12,924","8,25,860",81.50%,"47,254",5.70%,2009
277,Kasaragod,1,GEN,Kerala,P Karunakaran,Communist Party Of India (MARXIST),"11,13,892","8,48,205",76.20%,"64,427",7.60%,2009
278,Katihar,11,GEN,Bihar [2000 Onwards],Nikhil Kumar Choudhary,Bharatiya Janta Party,"12,72,769","7,24,942",57.00%,"14,015",1.90%,2009
279,Kaushambi,50,SC,Uttar Pradesh [2000 Onwards],Shailendra Kumar,Samajwadi Party,"13,91,312","5,51,342",39.60%,"55,789",10.10%,2009
280,Kendrapara,15,GEN,Orissa,Baijayant Panda,Biju Janata Dal,"14,34,425","9,82,950",68.50%,"1,27,107",12.90%,2009
281,Keonjhar,4,ST,Orissa,Yashbant Narayan Singh Laguri,Biju Janata Dal,"12,65,225","8,92,274",70.50%,"1,26,484",14.20%,2009
282,Khadoor Sahib,3,GEN,Punjab,Dr. Rattan Singh Ajnala,Shiromani Akali Dal,"13,40,145","9,46,690",70.60%,"32,260",3.40%,2009
283,Khagaria,25,GEN,Bihar [2000 Onwards],Dinesh Chandra Yadav,Janata Dal (United),"13,42,970","6,24,966",46.50%,"1,38,755",22.20%,2009
284,Khajuraho,8,GEN,Madhya Pradesh [2000 Onwards],Jeetendra Singh Bundela,Bharatiya Janta Party,"13,49,511","5,83,085",43.20%,"28,332",4.90%,2009
285,Khammam,17,GEN,Andhra Pradesh,Nama Nageswara Rao,Telugu Desam,"12,59,815","10,38,421",82.40%,"1,24,448",12.00%,2009
286,Khandwa,28,GEN,Madhya Pradesh [2000 Onwards],Arun Subhashchandra Yadav,Indian National Congress,"13,55,325","8,13,214",60.00%,"49,081",6.00%,2009
287,Khargone,27,ST,Madhya Pradesh [2000 Onwards],Makansingh Solanki (Babuji),Bharatiya Janta Party,"12,63,778","7,60,779",60.20%,"34,175",4.50%,2009
288,Kheda,17,GEN,Gujarat,Dinsha Patel,Indian National Congress,"14,48,571","6,02,867",41.60%,846,0.10%,2009
289,Kheri,28,GEN,Uttar Pradesh [2000 Onwards],Zafar Ali Naqvi,Indian National Congress,"12,97,088","7,07,983",54.60%,"8,777",1.20%,2009
290,Khunti,11,ST,Jharkhand,Karia Munda,Bharatiya Janta Party,"9,80,868","5,10,352",52.00%,"80,175",15.70%,2009
291,Kishanganj,10,GEN,Bihar [2000 Onwards],Mohammad Asrarul Haque,Indian National Congress,"11,86,369","6,26,914",52.80%,"80,269",12.80%,2009
292,Kodarma,5,GEN,Jharkhand,Babulal Marandi,Jharkhand Vikas Morcha (Prajatantrik),"13,90,428","7,80,555",56.10%,"48,520",6.20%,2009
293,Kokrajhar,5,ST,Assam,Sansuma Khunggur Bwiswmuthiary,Bodaland Peoples Front,"13,77,837","10,15,053",73.70%,"1,90,322",18.70%,2009
294,Kolar,28,SC,Karnataka,K.H.Muniyappa,Indian National Congress,"13,40,923","9,28,350",69.20%,"23,006",2.50%,2009
295,Kolhapur,47,GEN,Maharashtra,Sadashivrao Dadoba Mandlik,Independent,"15,83,030","10,29,203",65.00%,"44,800",4.40%,2009
296,Kolkata Dakshin,23,GEN,West Bengal,Mamata Banerjee,All India Trinamool Congress,"15,05,638","10,08,329",67.00%,"2,19,571",21.80%,2009
297,Kolkata Uttar,24,GEN,West Bengal,Sudip Bandyopadhyay,All India Trinamool Congress,"13,66,647","8,78,866",64.30%,"1,09,278",12.40%,2009
298,Kollam,18,GEN,Kerala,N.Peethambarakurup,Indian National Congress,"11,08,686","7,54,928",68.10%,"17,531",2.30%,2009
299,Koppal,8,GEN,Karnataka,Shivaramagouda Shivanagouda,Bharatiya Janta Party,"13,63,431","7,54,803",55.40%,"81,789",10.80%,2009
300,Koraput,21,ST,Orissa,Jayaram Pangi,Biju Janata Dal,"12,17,768","7,59,610",62.40%,"96,360",12.70%,2009
301,Korba,4,GEN,Chhattisgarh,Charan Das Mahant,Indian National Congress,"12,76,443","7,45,617",58.40%,"20,737",2.80%,2009
302,Kota,24,GEN,Rajasthan,Ijyaraj Singh,Indian National Congress,"14,98,971","6,82,181",45.50%,"83,093",12.20%,2009
303,Kottayam,14,GEN,Kerala,Jose K.Mani (Karingozheckal),Kerala Congress(M),"10,95,242","8,09,844",73.90%,"71,570",8.80%,2009
304,Kozhikode,5,GEN,Kerala,M.K. Raghavan,Indian National Congress,"10,53,817","7,99,996",75.90%,838,0.10%,2009
305,Krishnagiri,9,GEN,Tamil Nadu,Sugavanam. E.G.,Dravida Munetra Kazhagam,"10,14,758","7,52,583",74.20%,"76,598",10.20%,2009
306,Krishnanagar,12,GEN,West Bengal,Tapas Paul,All India Trinamool Congress,"12,23,082","10,47,125",85.60%,"77,386",7.40%,2009
307,Kurnool,35,GEN,Andhra Pradesh,Kotla Jaya Surya Prakash Reddy,Indian National Congress,"13,07,312","8,73,551",66.80%,"73,773",8.40%,2009
308,Kurukshetra,2,GEN,Haryana,Naveen Jindal,Indian National Congress,"11,66,684","8,75,415",75.00%,"1,18,729",13.60%,2009
309,Kushi Nagar,65,GEN,Uttar Pradesh [2000 Onwards],Ku. Ratanjeet Pratap Narayan Singh,Indian National Congress,"14,38,263","7,31,041",50.80%,"21,094",2.90%,2009
310,Ladakh,4,GEN,Jammu & Kashmir,Hassan Khan,Independent,"1,52,491","1,11,013",72.80%,"3,684",3.30%,2009
311,Lakhimpur,14,GEN,Assam,Ranee Narah,Indian National Congress,"13,32,518","9,09,812",68.30%,"44,572",4.90%,2009
312,Lakshadweep,1,ST,Lakshadweep,Hamdullah Sayeed,Indian National Congress,"45,983","39,498",85.90%,"2,198",5.60%,2009
313,Lalganj,68,SC,Uttar Pradesh [2000 Onwards],Dr. Baliram,Bahujan Samaj Party,"15,09,536","6,59,042",43.70%,"39,948",6.10%,2009
314,Latur,41,SC,Maharashtra,Awale Jaywant Gangaram,Indian National Congress,"15,09,987","8,29,585",54.90%,"7,975",1.00%,2009
315,Lohardaga,12,ST,Jharkhand,Sudarshan Bhagat,Bharatiya Janta Party,"9,81,666","5,22,402",53.20%,"8,283",1.60%,2009
316,Lucknow,35,GEN,Uttar Pradesh [2000 Onwards],Lal Ji Tandon,Bharatiya Janta Party,"16,53,123","5,87,772",35.60%,"40,901",7.00%,2009
317,Ludhiana,7,GEN,Punjab,Manish Tewari,Indian National Congress,"13,09,308","8,46,277",64.60%,"1,13,706",13.40%,2009
318,Machhlishahr,74,SC,Uttar Pradesh [2000 Onwards],Tufani Saroj,Samajwadi Party,"17,51,074","7,17,824",41.00%,"24,306",3.40%,2009
319,Machilipatnam,28,GEN,Andhra Pradesh,Konakalla Narayana Rao,Telugu Desam,"12,51,053","10,52,352",84.10%,"12,456",1.20%,2009
320,Madha,43,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Nationalist Congress Party,"15,58,442","9,19,449",59.00%,"3,14,459",34.20%,2009
321,Madhepura,13,GEN,Bihar [2000 Onwards],Sharad Yadav,Janata Dal (United),"15,08,361","7,56,468",50.20%,"1,77,621",23.50%,2009
322,Madhubani,6,GEN,Bihar [2000 Onwards],Hukmadeo Narayan Yadav,Bharatiya Janta Party,"13,97,256","5,56,572",39.80%,"9,927",1.80%,2009
323,Madurai,32,GEN,Tamil Nadu,Alagiri M.K,Dravida Munetra Kazhagam,"10,22,421","7,92,011",77.50%,"1,40,985",17.80%,2009
324,Mahabubabad,16,ST,Andhra Pradesh,P. Balram,Indian National Congress,"12,65,396","9,96,860",78.80%,"68,957",6.90%,2009
325,Maharajganj,63,GEN,Uttar Pradesh [2000 Onwards],Harsh Vardhan,Indian National Congress,"15,09,167","5,99,531",39.70%,"1,23,628",20.60%,2009
326,Maharajganj,19,GEN,Bihar [2000 Onwards],Uma Shanaker Singh,Rashtriya Janata Dal,"13,12,219","5,99,531",45.70%,"2,797",0.50%,2009
327,Mahasamund,9,GEN,Chhattisgarh,Chandulal Sahu (Chandu Bhaiya),Bharatiya Janta Party,"13,69,154","7,76,337",56.70%,"51,475",6.60%,2009
328,Mahbubnagar,11,GEN,Andhra Pradesh,K. Chandrasekhar Rao,Telangana Rashtra Samithi,"13,68,868","9,27,588",67.80%,"20,184",2.20%,2009
329,Mahesana,4,GEN,Gujarat,Patel Jayshreeben Kanubhai,Bharatiya Janta Party,"13,93,970","6,92,685",49.70%,"21,865",3.20%,2009
330,Mainpuri,21,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,"13,99,259","6,96,701",49.80%,"1,73,069",24.80%,2009
331,Malappuram,6,GEN,Kerala,E. Ahamed,Muslim League Kerala State Committee,"10,19,713","7,84,713",77.00%,"1,15,597",14.70%,2009
332,Maldaha Dakshin,8,GEN,West Bengal,Abu Hasem Khan Choudhury,Indian National Congress,"10,52,093","8,31,309",79.00%,"1,36,280",16.40%,2009
333,Maldaha Uttar,7,GEN,West Bengal,Mausam Noor,Indian National Congress,"11,01,096","9,22,537",83.80%,"60,141",6.50%,2009
334,Malkajgiri,7,GEN,Andhra Pradesh,Sarvey Sathyanarayana,Indian National Congress,"23,43,050","12,05,858",51.50%,"93,326",7.70%,2009
335,Mandi,2,GEN,Himachal Pradesh,Virbhadra Singh,Indian National Congress,"11,12,524","7,13,687",64.20%,"13,997",2.00%,2009
336,Mandla,14,ST,Madhya Pradesh [2000 Onwards],Basori Singh Masram,Indian National Congress,"15,28,061","8,60,093",56.30%,"65,053",7.60%,2009
337,Mandsour,23,GEN,Madhya Pradesh [2000 Onwards],Meenakshi Natrajan,Indian National Congress,"13,71,067","7,65,754",55.90%,"30,819",4.00%,2009
338,Mandya,20,GEN,Karnataka,N Cheluvaraya Swamy @ Swamygowda,Janata Dal (Secular),"14,99,744","10,31,797",68.80%,"23,500",2.30%,2009
339,Mangaldoi,8,GEN,Assam,Ramen Deka,Bharatiya Janta Party,"14,16,682","9,88,448",69.80%,"55,849",5.70%,2009
340,Mathura,17,GEN,Uttar Pradesh [2000 Onwards],Jayant Chaudhary,Rashtriya Lok Dal,"13,41,649","7,26,769",54.20%,"1,69,613",23.30%,2009
341,Mathurapur,20,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,"12,27,376","10,49,016",85.50%,"1,29,963",12.40%,2009
342,Maval,33,GEN,Maharashtra,Babar Gajanan Dharmshi,Shiv Sena,"16,04,886","7,18,520",44.80%,"80,619",11.20%,2009
343,Mavelikkara,16,SC,Kerala,Kodikkunnil Suresh,Indian National Congress,"11,42,993","8,06,273",70.50%,"48,048",6.00%,2009
344,Mayiladuthurai,28,GEN,Tamil Nadu,Maniyan O.S.,All India Anna Dravida Munnetra Kazhagam,"10,91,519","8,00,627",73.40%,"36,854",4.60%,2009
345,Mayurbhanj,5,ST,Orissa,Laxman Tudu,Biju Janata Dal,"11,73,650","8,25,506",70.30%,"66,178",8.00%,2009
346,Medak,6,GEN,Andhra Pradesh,Vijaya Shanthi .M,Telangana Rashtra Samithi,"13,89,721","10,62,584",76.50%,"6,077",0.60%,2009
347,Medinipur,34,GEN,West Bengal,Prabodh Panda,Communist Party Of India,"12,62,983","10,43,731",82.60%,"48,017",4.60%,2009
348,Meerut,10,GEN,Uttar Pradesh [2000 Onwards],Rajendra Agarwal,Bharatiya Janta Party,"15,08,788","7,27,732",48.20%,"47,146",6.50%,2009
349,Mirzapur,79,GEN,Uttar Pradesh [2000 Onwards],Bal Kumar Patel,Samajwadi Party,"14,05,539","7,32,859",52.10%,"19,682",2.70%,2009
350,Misrikh,32,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Rawat,Bahujan Samaj Party,"14,64,770","6,07,911",41.50%,"23,292",3.80%,2009
351,Mizoram,1,ST,Mizoram,C.L.Ruala,Indian National Congress,"6,29,374","3,32,553",52.80%,"1,08,955",32.80%,2009
352,Mohanlalganj,34,SC,Uttar Pradesh [2000 Onwards],Sushila Saroj,Samajwadi Party,"15,00,237","6,94,220",46.30%,"76,595",11.00%,2009
353,Moradabad,6,GEN,Uttar Pradesh [2000 Onwards],Mohammed Azharuddin,Indian National Congress,"13,88,525","7,61,683",54.90%,"49,107",6.40%,2009
354,Morena,1,GEN,Madhya Pradesh [2000 Onwards],Narendra Singh Tomar,Bharatiya Janta Party,"13,39,897","7,10,660",53.00%,"1,00,997",14.20%,2009
355,Mumbai North,26,GEN,Maharashtra,Sanjay Brijkishorlal Nirupam,Indian National Congress,"16,08,924","6,85,035",42.60%,"5,779",0.80%,2009
356,Mumbai North Central,29,GEN,Maharashtra,Dutt Priya Sunil,Indian National Congress,"16,81,985","6,64,652",39.50%,"1,74,555",26.30%,2009
